ISSN,DOI,authors,year,title,journal,URL,citations,year_for_citations_by_year,citations_per_year,more_than_30_citations_per_year,psych_study_on_human_participants
0005-7967,10.1016/j.brat.2022.104101,Hornstein; Eisenberger,2022,Exploring the effect of loneliness on fear: Implications for the effect of COVID-19-induced social disconnection on anxiety,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2022.104101,8,2022,2.67,FALSE,NA
0005-7967,10.1016/j.brat.2023.104456,Burger; Andikkhash; Jäger; Anderbro; Blanken; Klintwall,2024,A novel approach for constructing personalized networks from longitudinal perceived causal relations,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2023.104456,3,2024,3,FALSE,NA
0005-7967,10.1016/j.brat.2013.05.009,Walser; Karlin; Trockel; Mazina; Barr Taylor,2013,Training in and implementation of Acceptance and Commitment Therapy for depression in the Veterans Health Administration: Therapist and patient outcomes,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2013.05.009,61,2013,5.08,FALSE,NA
0005-7967,10.1016/j.brat.2014.01.006,McEvoy; Saulsman,2014,Imagery-enhanced cognitive behavioural group therapy for social anxiety disorder: A pilot study,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2014.01.006,38,2014,3.45,FALSE,NA
0005-7967,10.1016/j.brat.2012.10.004,Reinecke; Rinck; Becker; Hoyer,2013,Cognitive-behavior therapy resolves implicit fear associations in generalized anxiety disorder,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2012.10.004,13,2013,1.08,FALSE,NA
0005-7967,10.1016/j.brat.2017.01.006,Keng; Tan; Eisenlohr-Moul; Smoski,2017,"Effects of mindfulness, reappraisal, and suppression on sad mood and cognitive resources",Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2017.01.006,25,2017,3.13,FALSE,NA
0005-7967,10.1016/j.brat.2024.104522,Aupperle; Kuplicki; Tsuchiyagaito; Akeman; Sturycz-Taylor; DeVille; Lasswell; Misaki; Berg; McDermott; Touthang; Ballard; Cha; Schacter; Paulus,2024,Ventromedial prefrontal cortex activation and neurofeedback modulation during episodic future thinking for individuals with suicidal thoughts and behaviors,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2024.104522,4,2024,4,FALSE,NA
0005-7967,10.1016/j.brat.2013.08.001,Masson; von Ranson; Wallace; Safer,2013,A randomized wait-list controlled pilot study of dialectical behaviour therapy guided self-help for binge eating disorder,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2013.08.001,60,2013,5,FALSE,NA
0005-7967,10.1016/j.brat.2012.03.004,Nilsson; Lundh; Viborg,2012,Imagery rescripting of early memories in social anxiety disorder: An experimental study,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2012.03.004,77,2012,5.92,FALSE,NA
0005-7967,10.1016/j.brat.2007.07.005,Jaaniste; Hayes; von Baeyer,2007,Effects of preparatory information and distraction on children's cold-pressor pain outcomes: A randomized controlled trial,Behaviour Research and Therapy,https://doi.org/10.1016/j.brat.2007.07.005,25,2007,1.39,FALSE,NA
0009-3920,10.1111/cdev.13157,Elenbaas,2019,Interwealth Contact and Young Children's Concern for Equity,Child Development,https://doi.org/10.1111/cdev.13157,17,2019,2.83,FALSE,NA
0009-3920,10.1111/j.1467-8624.2012.01817.x,Bascoe; Davies; Cummings,2012,Beyond Warmth and Conflict: The Developmental Utility of a Boundary Conceptualization of Sibling Relationship Processes,Child Development,https://doi.org/10.1111/j.1467-8624.2012.01817.x,17,2012,1.31,FALSE,NA
0009-3920,10.1111/cdev.13332,Scott; Pinderhughes; Johnson,2020,How Does Racial Context Matter?: Family Preparation‐for‐Bias Messages and Racial Coping Reported by Black Youth,Child Development,https://doi.org/10.1111/cdev.13332,32,2020,6.4,FALSE,NA
0009-3920,10.1111/cdev.13894,McCurdy; Russell,2023,"Perceived parental social support and psychological control predict depressive symptoms for lesbian, gay, bisexual, transgender, queer, or questioning youth in the United States",Child Development,https://doi.org/10.1111/cdev.13894,4,2023,2,FALSE,NA
0009-3920,10.1111/j.1467-8624.2007.00988.x,Harlaar; Dale; Plomin,2007,From Learning to Read to Reading to Learn: Substantial and Stable Genetic Influence,Child Development,https://doi.org/10.1111/j.1467-8624.2007.00988.x,49,2007,2.72,FALSE,NA
0009-3920,10.1111/j.1467-8624.2010.01552.x,Garber; Ciesla; McCauley; Diamond; Schloredt,2011,Remission of Depression in Parents: Links to Healthy Functioning in Their Children,Child Development,https://doi.org/10.1111/j.1467-8624.2010.01552.x,78,2011,5.57,FALSE,NA
0009-3920,10.1111/cdev.12650,Laninga‐Wijnen; Harakeh; Steglich; Dijkstra; Veenstra; Vollebergh,2017,The Norms of Popular Peers Moderate Friendship Dynamics of Adolescent Aggression,Child Development,https://doi.org/10.1111/cdev.12650,52,2017,6.5,FALSE,NA
0009-3920,10.1111/cdev.12909,Simanowski; Krajewski,2019,Specific Preschool Executive Functions Predict Unique Aspects of Mathematics Development: A 3‐Year Longitudinal Study,Child Development,https://doi.org/10.1111/cdev.12909,40,2019,6.67,FALSE,NA
0009-3920,10.1111/cdev.14140,Bakker; Torbeyns; Verschaffel; De Smedt,2024,Cognitive characteristics of children with high mathematics achievement before they start formal schooling,Child Development,https://doi.org/10.1111/cdev.14140,0,2024,0,FALSE,NA
0009-3920,10.1111/cdev.12611,Rambaran; Hopmeyer; Schwartz; Steglich; Badaly; Veenstra,2017,Academic Functioning and Peer Influences: A Short‐Term Longitudinal Study of Network–Behavior Dynamics in Middle Adolescence,Child Development,https://doi.org/10.1111/cdev.12611,85,2017,10.63,FALSE,NA
2167-7026,10.1177/2167702613484717,Schueller; Pérez-Stable; Muñoz,2013,A Mood Management Intervention in an Internet Stop Smoking Randomized Controlled Trial Does Not Prevent Depression,Clinical Psychological Science,https://doi.org/10.1177/2167702613484717,4,2013,0.33,FALSE,NA
2167-7026,10.1177/2167702614553026,Lane; Sher,2015,Limits of Current Approaches to Diagnosis Severity Based on Criterion Counts,Clinical Psychological Science,https://doi.org/10.1177/2167702614553026,68,2015,6.8,FALSE,NA
2167-7026,10.1177/2167702618785618,Allé; Berna; Berntsen,2018,Involuntary Autobiographical Memory and Future Thought Predicting Hallucination Proneness,Clinical Psychological Science,https://doi.org/10.1177/2167702618785618,14,2018,2,FALSE,NA
2167-7026,10.1177/2167702621992337,Hart; Breeden; Richardson; Kinrade,2021,Depression and the Adoption of Faux Depression Symptoms: Novel Evidence for a Self-Verification Perspective,Clinical Psychological Science,https://doi.org/10.1177/2167702621992337,4,2021,1,FALSE,NA
2167-7026,10.1177/21677026241305377,Elliott; Hsu; Uddin; Modavi; Johnson,2025,Introducing the Glutamate-Amplifies-Noradrenergic-Effects (GANE) Model to the Neurocognitive Study of Emotion-Related Impulsivity,Clinical Psychological Science,https://doi.org/10.1177/21677026241305377,0,2024,0,FALSE,NA
2167-7026,10.1177/21677026211031543,Zhou; Cui; Yang; Shi; Luo; Cheung; Lui; Chan,2022,Audiovisual Temporal Processing in Children and Adolescents With Schizophrenia and Children and Adolescents With Autism: Evidence From Simultaneity-Judgment Tasks and Eye-Tracking Data,Clinical Psychological Science,https://doi.org/10.1177/21677026211031543,10,2022,3.33,FALSE,NA
2167-7026,10.1177/2167702617744326,Takarangi; Oulton; Strange,2018,Explaining Memory Amplification: Is It All About the Test Format?,Clinical Psychological Science,https://doi.org/10.1177/2167702617744326,2,2018,0.29,FALSE,NA
2167-7026,10.1177/2167702617711284,Zachar; First; Kendler,2017,The Bereavement Exclusion Debate in theDSM-5: A History,Clinical Psychological Science,https://doi.org/10.1177/2167702617711284,35,2017,4.38,FALSE,NA
2167-7026,10.1177/2167702614567351,Kazdin,2015,Editor’s Introduction to the Special Series,Clinical Psychological Science,https://doi.org/10.1177/2167702614567351,1,2015,0.1,FALSE,NA
2167-7026,10.1177/2167702617712525,Hayes,2018,The Category Use Effect in Clinical Diagnosis,Clinical Psychological Science,https://doi.org/10.1177/2167702617712525,1,2018,0.14,FALSE,NA
0010-0277,10.1016/j.cognition.2013.01.010,Wagner; Dobkins; Barner,2013,Slow mapping: Color word learning as a gradual inductive process,Cognition,https://doi.org/10.1016/j.cognition.2013.01.010,34,2013,2.83,FALSE,NA
0010-0277,10.1016/j.cognition.2020.104182,Pavlek; Winters; Morin,2020,Reverse engineering cash: Coin designs mark out high value differentials and coin sizes track values logarithmically,Cognition,https://doi.org/10.1016/j.cognition.2020.104182,4,2020,0.8,FALSE,NA
0010-0277,10.1016/j.cognition.2024.106051,Finiasz; Shore; Xu; Kushnir,2025,Children's cost-benefit analysis about agents who act for the greater good,Cognition,https://doi.org/10.1016/j.cognition.2024.106051,0,2024,0,FALSE,NA
0010-0277,10.1016/j.cognition.2011.02.003,Ma; Xu,2011,Young children’s use of statistical sampling evidence to infer the subjectivity of preferences,Cognition,https://doi.org/10.1016/j.cognition.2011.02.003,52,2011,3.71,FALSE,NA
0010-0277,10.1016/j.cognition.2022.105262,Liljeholm,2022,Flexible control as surrogate reward or dynamic reward maximization,Cognition,https://doi.org/10.1016/j.cognition.2022.105262,0,2022,0,FALSE,NA
0010-0277,10.1016/j.cognition.2018.03.012,Jern; Lucas; Kemp,2018,Corrigendum to “People learn other people’s preferences through inverse decision-making” [Cognition 168 (2017) 46–64],Cognition,https://doi.org/10.1016/j.cognition.2018.03.012,0,2018,0,FALSE,NA
0010-0277,10.1016/j.cognition.2017.07.012,Bonn; Cantlon,2017,"Spontaneous, modality-general abstraction of a ratio scale",Cognition,https://doi.org/10.1016/j.cognition.2017.07.012,31,2017,3.88,FALSE,NA
0010-0277,10.1016/j.cognition.2015.06.014,Faber; Gennari,2015,In search of lost time: Reconstructing the unfolding of events from memory,Cognition,https://doi.org/10.1016/j.cognition.2015.06.014,42,2015,4.2,FALSE,NA
0010-0277,10.1016/j.cognition.2011.07.013,Brunyé; Gardony; Mahoney; Taylor,2012,Body-specific representations of spatial location,Cognition,https://doi.org/10.1016/j.cognition.2011.07.013,48,2012,3.69,FALSE,NA
0010-0277,10.1016/j.cognition.2010.08.014,English; Nielson,2010,Reduction of the misinformation effect by arousal induced after learning,Cognition,https://doi.org/10.1016/j.cognition.2010.08.014,17,2010,1.13,FALSE,NA
2474-7394,10.1525/collabra.75214,Sust; Stachl; Kudchadker; Bühner; Schoedel,2023,Personality Computing With Naturalistic Music Listening Behavior: Comparing Audio and Lyrics Preferences,Collabra: Psychology,https://doi.org/10.1525/collabra.75214,2,2023,1,FALSE,NA
2474-7394,10.1525/collabra.117083,Folk; Yu; Dunn,2024,Can Chatbots Ever Provide More Social Connection Than Humans?,Collabra: Psychology,https://doi.org/10.1525/collabra.117083,0,2024,0,FALSE,NA
2474-7394,10.1525/collabra.128470,Sato; Gygax; Gabriel; Oakhill; Escasain,2025,"Does Inclusive Language Increase the Visibility of Women, or Does It Simply Decrease the Visibility of Men? A Missing Piece of the Inclusive Language Jigsaw",Collabra: Psychology,https://doi.org/10.1525/collabra.128470,0,2024,0,FALSE,NA
2474-7394,10.1525/collabra.67931,Nordmeyer; Frank,2023,Pragmatic Felicity Facilitates the Production and Comprehension of Negation,Collabra: Psychology,https://doi.org/10.1525/collabra.67931,0,2023,0,FALSE,NA
2474-7394,10.1525/collabra.186,Corbin; Crawford,2018,Biased by the Group: Memory for an Emotional Expression Biases Towards the Ensemble,Collabra: Psychology,https://doi.org/10.1525/collabra.186,7,2018,1,FALSE,NA
2474-7394,10.1525/collabra.73830,García Alanis; Strelow; Dort; Christiansen; Pinquart; Panitz,2023,"Expectation Violations, Expectation Change, and Expectation Persistence: The Scientific Landscape as Revealed by Bibliometric Network Analyses",Collabra: Psychology,https://doi.org/10.1525/collabra.73830,1,2023,0.5,FALSE,NA
2474-7394,10.1525/collabra.17799,Grosz; Harms; Dufner; Kraft; Wetzel,2020,Reducing the Overlap Between Machiavellianism and Subclinical Psychopathy: The M7 and P7 Scales,Collabra: Psychology,https://doi.org/10.1525/collabra.17799,13,2020,2.6,FALSE,NA
2474-7394,10.1525/collabra.73755,Nardelli; Rolland-Carlichi; Bortolon,2023,Emotion Regulation Choice and Psychosis Proneness: A Replication and Extension Study,Collabra: Psychology,https://doi.org/10.1525/collabra.73755,0,2023,0,FALSE,NA
2474-7394,10.1525/collabra.127671,Clark; Lindsay; Gilligan-Lee; de-Wit; Scott-Samuel; Azevedo; Pennington,2025,"Undergraduate Psychology Students’ Perceptions of Open Research: The Relationship Between Statistics Understanding, Attitudes, and Questionable Research Practices",Collabra: Psychology,https://doi.org/10.1525/collabra.127671,0,2024,0,FALSE,NA
2474-7394,10.1525/collabra.190,Hembacher; Frank,2020,The Early Parenting Attitudes Questionnaire: Measuring Intuitive Theories of Parenting and Child Development,Collabra: Psychology,https://doi.org/10.1525/collabra.190,9,2020,1.8,FALSE,NA
1939-0599,10.1037/dev0000712,Brod; Shing,2019,A boon and a bane: Comparing the effects of prior knowledge on memory across the lifespan.,Developmental Psychology,https://doi.org/10.1037/dev0000712,38,2019,6.33,FALSE,NA
0012-1649,10.1037/dev0001122.supp,NA,2020,Supplemental Material for The Dynamics of Interference Control Across Childhood and Adolescence: Distribution Analyses in Three Conflict Tasks and Ten Age Groups,Developmental Psychology,https://doi.org/10.1037/dev0001122.supp,0,2020,0,FALSE,NA
