ISSN,DOI,authors,year,title,journal,URL,citations,year_for_citations_by_year,citations_per_year,more_than_30_citations_per_year,psych_study_on_human_participants
1939-0599,10.1037/dev0000374,Becht; Nelemans; Branje; Vollebergh; Koot; Meeus,2017,Identity uncertainty and commitment making across adolescence: Five-year within-person associations using daily identity reports.,Developmental Psychology,https://doi.org/10.1037/dev0000374,37,2017,4.63,FALSE,NA
1939-0599,10.1037/dev0001089,Brandes-Aitken; Braren; Gandhi; Perry; Rowe-Harriott; Blair,2020,Joint attention partially mediates the longitudinal relation between attuned caregiving and executive functions for low-income children.,Developmental Psychology,https://doi.org/10.1037/dev0001089,13,2020,2.6,FALSE,NA
0012-1649,10.1037/a0030978.supp,NA,2013,Supplemental Material for Developmental Changes in Impacts of an Antipoverty Experiment on Low-Income Children’s Structured Out-of-School Time,Developmental Psychology,https://doi.org/10.1037/a0030978.supp,0,2013,0,FALSE,NA
1939-0599,10.1037/dev0000135,Fosco; Van Ryzin; Xia; Feinberg,2016,Trajectories of adolescent hostile-aggressive behavior and family climate: Longitudinal implications for young adult romantic relationship competence.,Developmental Psychology,https://doi.org/10.1037/dev0000135,10,2016,1.11,FALSE,NA
0012-1649,10.1037/a0038562.supp,NA,2015,Supplemental Material for Nonresident Fatherhood and Adolescent Sexual Behavior: A Comparison of Siblings Approach,Developmental Psychology,https://doi.org/10.1037/a0038562.supp,0,2015,0,FALSE,NA
1939-0599,10.1037/dev0001239,Loh; Fintor; Nolden; Fels,2022,Children’s intentional switching of auditory selective attention in spatial and noisy acoustic environments in comparison to adults.,Developmental Psychology,https://doi.org/10.1037/dev0001239,3,2022,1,FALSE,NA
0012-1649,10.1037/dev0001563.supp,NA,2023,Supplemental Material for Inhibitory Control Predicts Growth in Irregular Word Reading: Evidence From a Large-Scale Longitudinal Study,Developmental Psychology,https://doi.org/10.1037/dev0001563.supp,0,2023,0,FALSE,NA
1939-0599,10.1037/a0018016,Livas-Dlott; Fuller; Stein; Bridges; Mangual Figueroa; Mireles,2010,"Commands, competence, and cariño: Maternal socialization practices in Mexican American families.",Developmental Psychology,https://doi.org/10.1037/a0018016,50,2010,3.33,FALSE,NA
1528-3542,10.1037/emo0000928.supp,NA,2021,Supplemental Material for Gratitude Facilitates Obedience: New Evidence for the Social Alignment Perspective,Emotion,https://doi.org/10.1037/emo0000928.supp,0,2021,0,FALSE,NA
1931-1516,10.1037/emo0000021,Tamir; Bigman; Rhodes; Salerno; Schreier,2015,"An expectancy-value model of emotion regulation: Implications for motivation, emotional experience, and decision making.",Emotion,https://doi.org/10.1037/emo0000021,89,2015,8.9,FALSE,NA
1931-1516,10.1037/emo0001057,Lee; Lim; Lee,2022,Sharing joy increases joy: Group membership modulates emotional perception of facial expressions.,Emotion,https://doi.org/10.1037/emo0001057,1,2022,0.33,FALSE,NA
1931-1516,10.1037/emo0000033,Stellar; John-Henderson; Anderson; Gordon; McNeil; Keltner,2015,Positive affect and markers of inflammation: Discrete positive emotions predict lower levels of inflammatory cytokines.,Emotion,https://doi.org/10.1037/emo0000033,189,2015,18.9,FALSE,NA
1931-1516,10.1037/emo0000267,Borges; Dahne; Lim; MacPherson,2017,Negative affect mediates the relation between trait urgency and behavioral distress tolerance.,Emotion,https://doi.org/10.1037/emo0000267,9,2017,1.13,FALSE,NA
1528-3542,10.1037/emo0000862.supp,NA,2022,Supplemental Material for Emotional Changes Following Discrimination Induction in Gender- and Sexuality-Diverse Adolescents,Emotion,https://doi.org/10.1037/emo0000862.supp,0,2022,0,FALSE,NA
1931-1516,10.1037/a0023578,Aviezer; Bentin; Dudarev; Hassin,2011,The automaticity of emotional face-context integration.,Emotion,https://doi.org/10.1037/a0023578,127,2011,9.07,FALSE,NA
1528-3542,10.1037/emo0001375.supp,NA,2024,Supplemental Material for The Development of a Novel Scale to Assess Intra- and Interpersonal Emotion Regulation Strategies: The Emotion Regulation Strategy Scale (ERSS),Emotion,https://doi.org/10.1037/emo0001375.supp,0,2024,0,FALSE,NA
1931-1516,10.1037/emo0000305,Stein; Grubb; Bertrand; Suh; Verosky,2017,No impact of affective person knowledge on visual awareness: Evidence from binocular rivalry and continuous flash suppression.,Emotion,https://doi.org/10.1037/emo0000305,16,2017,2,FALSE,NA
1528-3542,10.1037/emo0000475.supp,NA,2019,"Supplemental Material for When Facial Expressions Do and Do Not Signal Minds: The Role of Face Inversion, Expression Dynamism, and Emotion Type",Emotion,https://doi.org/10.1037/emo0000475.supp,0,2019,0,FALSE,NA
1939-1854,10.1037/0021-9010.92.5.1254,Miner-Rubino; Cortina,2007,Beyond targets: Consequences of vicarious exposure to misogyny at work.,Journal of Applied Psychology,https://doi.org/10.1037/0021-9010.92.5.1254,147,2007,8.17,FALSE,NA
1939-1854,10.1037/apl0000471,Aw; Ilies; De Pater,2020,"Dispositional empathy, emotional display authenticity, and employee outcomes.",Journal of Applied Psychology,https://doi.org/10.1037/apl0000471,23,2020,4.6,FALSE,NA
1939-1854,10.1037/0021-9010.93.1.140,Komar; Brown; Komar; Robie,2008,Faking and the validity of conscientiousness: A Monte Carlo investigation.,Journal of Applied Psychology,https://doi.org/10.1037/0021-9010.93.1.140,83,2008,4.88,FALSE,NA
1939-1854,10.1037/apl0000494,Sun; Li; Li; Liden; Li; Zhang,2021,"Unintended consequences of being proactive? Linking proactive personality to coworker envy, helping, and undermining, and the moderating role of prosocial motivation.",Journal of Applied Psychology,https://doi.org/10.1037/apl0000494,91,2021,22.75,FALSE,NA
1939-1854,10.1037/a0033656,Wang; Liu; Liao; Gong; Kammeyer-Mueller; Shi,2013,Can’t get it out of my mind: Employee rumination after customer mistreatment and negative mood in the next morning.,Journal of Applied Psychology,https://doi.org/10.1037/a0033656,252,2013,21,FALSE,NA
0021-9010,10.1037/apl0000519.supp,NA,2021,Supplemental Material for Referents or Role Models? The Self-Efficacy and Job Performance Effects of Perceiving Higher Performing Peers,Journal of Applied Psychology,https://doi.org/10.1037/apl0000519.supp,0,2021,0,FALSE,NA
1939-1854,10.1037/a0029022,Chi; Grandey; Diamond; Krimmel,2012,"""Want a tip? Service performance as a function of emotion regulation and extraversion"": Correction to Chi, Grandey, Diamond, and Krimmel (2011).",Journal of Applied Psychology,https://doi.org/10.1037/a0029022,0,2012,0,FALSE,NA
1939-1854,10.1037/apl0000039,Bezrukova; Spell; Caldwell; Burger,2016,A multilevel perspective on faultlines: Differentiating the effects between group- and organizational-level faultlines.,Journal of Applied Psychology,https://doi.org/10.1037/apl0000039,53,2016,5.89,FALSE,NA
1939-1854,10.1037/apl0001163,Nurmohamed; Schwingel-Sauer,2024,Beyond the first choice: The impact of being an alternate choice on social integration and feedback seeking.,Journal of Applied Psychology,https://doi.org/10.1037/apl0001163,0,2024,0,FALSE,NA
0021-9010,10.1037/apl0000962.supp,NA,2022,"Supplemental Material for Inclined but Less Skilled? Disentangling Extraversion, Communication Skill, and Leadership Emergence",Journal of Applied Psychology,https://doi.org/10.1037/apl0000962.supp,0,2022,0,FALSE,NA
1537-4416,10.1080/15374416.2023.2222405,Hogue; MacLean; Bobek; Dunnsue; Porter; Jensen-Doss; Henderson,2023,Training Community Therapists in Core Elements of CBT and Family Therapy for Adolescent Externalizing Problems,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2023.2222405,4,2023,2,FALSE,NA
1537-4416,10.1080/15374416.2012.654464,Fabiano; Pelham; Cunningham; Yu; Gangloff; Buck; Linke; Gormley; Gera,2012,A Waitlist-Controlled Trial of Behavioral Parent Training for Fathers of Children with ADHD,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2012.654464,67,2012,5.15,FALSE,NA
1537-4416,10.1080/15374416.2011.533406,Reynolds; MacPherson; Matusiewicz; Schreiber; Lejuez,2011,Discrepancy Between Mother and Child Reports of Parental Knowledge and the Relation to Risk Behavior Engagement,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2011.533406,56,2011,4,FALSE,NA
1537-4416,10.1080/15374416.2016.1197838,Erath; Su; Tu,2018,Electrodermal Reactivity Moderates the Prospective Association Between Peer Victimization and Depressive Symptoms in Early Adolescence,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2016.1197838,12,2018,1.71,FALSE,NA
1537-4416,10.1080/15374416.2013.873982,Rodríguez; Southam-Gerow; O'Connor; Allin,2014,An Analysis of Stakeholder Views on Children's Mental Health Services,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2013.873982,12,2014,1.09,FALSE,NA
1537-4416,10.1080/15374416.2016.1138411,Schrooten; Scholte; Cillessen; Hymel,2018,Participant Roles in Bullying Among Dutch Adolescents With Autism Spectrum Disorders,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2016.1138411,9,2018,1.29,FALSE,NA
1537-4416,10.1080/15374416.2015.1121823,Metz; Majdandžić; Bögels,2018,"Concurrent and Predictive Associations Between Infants’ and Toddlers’ Fearful Temperament, Coparenting, and Parental Anxiety Disorders",Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2015.1121823,19,2018,2.71,FALSE,NA
1537-4416,10.1080/15374410902976379,Muris; Huijding; Mayer; Leemreis; Passchier; Bouwmeester,2009,The Effects of Verbal Disgust- and Threat-Related Information About Novel Animals on Disgust and Fear Beliefs and Avoidance in Children,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374410902976379,19,2009,1.19,FALSE,NA
1537-4416,10.1080/15374416.2014.893518,Lansford; Sharma; Malone; Woodlief; Dodge; Oburu; Pastorelli; Skinner; Sorbring; Tapanya; Tirado; Zelli; Al-Hassan; Alampay; Bacchini; Bombi; Bornstein; Chang; Deater-Deckard; Di Giunta,2014,"Corporal Punishment, Maternal Warmth, and Child Adjustment: A Longitudinal Study in Eight Countries",Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2014.893518,174,2014,15.82,FALSE,NA
1537-4416,10.1080/15374416.2020.1852943,Burns; Preszler; Becker,2022,Psychometric and Normative Information on the Child and Adolescent Behavior Inventory in a Nationally Representative Sample of United States Children,Journal of Clinical Child and Adolescent Psychology,https://doi.org/10.1080/15374416.2020.1852943,13,2022,4.33,FALSE,NA
1939-2117,10.1037/a0035536,Sergeant; Mongrain,2014,An online optimism intervention reduces depression in pessimistic individuals.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/a0035536,55,2014,5,FALSE,NA
0022-006X,10.1037/a0014360.supp,NA,2009,"Supplemental Material for Trajectories of Resilience, Resistance, and Distress During Ongoing Terrorism: The Case of Jews and Arabs in Israel",Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/a0014360.supp,0,2009,0,FALSE,NA
1939-2117,10.1037/a0028032,Meuret; Seidel; Rosenfield; Hofmann; Rosenfield,2012,Does fear reactivity during exposure predict panic symptom reduction?,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/a0028032,46,2012,3.54,FALSE,NA
1939-2117,10.1037/0022-006x.75.2.257,Ludman; Simon; Tutty; Von Korff,2007,A randomized trial of telephone psychotherapy and pharmacotherapy for depression: Continuation and durability of effects.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/0022-006x.75.2.257,62,2007,3.44,FALSE,NA
1939-2117,10.1037/ccp0000780,Kühne; Heinze; Maaß; Weck,2022,Modeling in psychotherapy training: A randomized controlled proof-of-concept trial.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/ccp0000780,5,2022,1.67,FALSE,NA
1939-2117,10.1037/ccp0000351,Segal; Anderson; Gulamani; Dinh Williams; Desormeau; Ferguson; Walsh; Farb,2019,Practice of therapy acquired regulatory skills and depressive relapse/recurrence prophylaxis following cognitive therapy or mindfulness based cognitive therapy.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/ccp0000351,38,2019,6.33,FALSE,NA
0022-006X,10.1037/ccp0000898.supp,NA,2024,Supplemental Material for Reciprocal Relationships Between Posttraumatic Stress Disorder Symptoms and Positive and Negative Affect in Evidence-Based Treatments for Posttraumatic Stress Disorder,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/ccp0000898.supp,0,2024,0,FALSE,NA
1939-2117,10.1037/a0013254,Langer; Lawrence; Barry,2008,Using a vulnerability-stress-adaptation framework to predict physical aggression trajectories in newlywed marriage.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/a0013254,51,2008,3,FALSE,NA
0022-006X,10.1037/ccp0000677.supp,NA,2021,Supplemental Material for Long-Term Cross-Over Effects of the Family Check-Up Prevention Program on Child and Adolescent Depression: Integrative Data Analysis of Three Randomized Trials,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/ccp0000677.supp,0,2021,0,FALSE,NA
1939-2117,10.1037/a0039359,Newman; Castonguay; Jacobson; Moore,2015,Adult attachment as a moderator of treatment outcome for generalized anxiety disorder: Comparison between cognitive–behavioral therapy (CBT) plus supportive listening and CBT plus interpersonal and emotional processing therapy.,Journal of Consulting and Clinical Psychology,https://doi.org/10.1037/a0039359,38,2015,3.8,FALSE,NA
0022-0965,10.1016/s0022-0965(11)00093-2,NA,2011,Cover 2: Editorial Board,Journal of Experimental Child Psychology,https://doi.org/10.1016/s0022-0965(11)00093-2,0,2011,0,FALSE,NA
0022-0965,10.1016/j.jecp.2014.11.001,Nayar; Franchak; Adolph; Kiorpes,2015,From local to global processing: The development of illusory contour perception,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2014.11.001,36,2015,3.6,FALSE,NA
0022-0965,10.1016/j.jecp.2012.06.008,Blake; Ganea; Harris,2012,"Possession is not always the law: With age, preschoolers increasingly use verbal information to identify who owns what",Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2012.06.008,35,2012,2.69,FALSE,NA
0022-0965,10.1016/j.jecp.2020.105005,Zhang; Cao; Tian,2021,Effects of violent video games on players’ and observers’ aggressive cognitions and aggressive behaviors,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2020.105005,9,2021,2.25,FALSE,NA
0022-0965,10.1016/j.jecp.2011.02.002,Huang-Pollock; Maddox; Karalunas,2011,Development of implicit and explicit category learning,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2011.02.002,45,2011,3.21,FALSE,NA
0022-0965,10.1016/j.jecp.2017.06.014,Liu; Su; Xu; Pei,2018,When do you know what you know? The emergence of memory monitoring,Journal of Experimental Child Psychology,https://doi.org/10.1016/j.jecp.2017.06.014,7,2018,1,FALSE,NA
